lane,index,frame,bin,re,im
A,853,12,85,0,0
A,854,12,86,1,0
A,855,12,87,0,0
A,856,12,88,0,0
A,857,12,89,0,0
A,858,12,90,2,0
A,859,12,91,-2,0
A,860,12,92,1,0
A,861,12,93,-3,0
A,862,12,94,0,0
A,863,12,95,-1,0
A,864,12,96,-2,0
A,865,12,97,-3,0
A,866,12,98,-4,0
A,867,12,99,-2,0
A,868,12,100,-3,0
A,869,12,101,-1,0
A,870,12,102,-4,0
A,871,12,103,-2,0
A,872,12,104,-3,0
A,873,12,105,-2,0
A,874,12,106,-3,0
A,875,12,107,-2,0
A,876,12,108,-3,0
A,877,12,109,-2,0
A,878,12,110,-3,0
A,879,12,111,-2,0
A,880,12,112,-2,0
A,881,12,113,0,0
A,882,12,114,-2,0
A,883,12,115,-1,0
A,884,12,116,-2,0
A,885,12,117,0,0
A,886,12,118,-1,0
A,887,12,119,-2,0
A,888,12,120,-1,0
A,889,12,121,0,0
A,890,12,122,-1,0
A,891,12,123,0,0
A,892,12,124,-2,0
A,893,12,125,-1,0
A,894,12,126,-2,0
A,895,12,127,-1,0
A,896,14,0,-1,0
A,897,14,1,2,0
A,898,14,2,2,0
A,899,14,3,1,0
A,900,14,4,-1,0
A,901,14,5,1,0
A,902,14,6,2,0
A,903,14,7,0,0
A,904,14,8,0,0
A,905,14,9,3,0
A,906,14,10,2,0
A,907,14,11,0,0
A,908,14,12,0,0
A,909,14,13,0,0
A,910,14,14,2,0
A,911,14,15,-1,0
A,912,14,16,-1,0
A,913,14,17,1,0
A,914,14,18,1,0
A,915,14,19,1,0
A,916,14,20,-1,0
A,917,14,21,1,0
A,918,14,22,1,0
A,919,14,23,0,0
A,920,14,24,-2,0
A,921,14,25,1,0
A,922,14,26,0,0
A,923,14,27,0,0
A,924,14,28,-1,0
A,925,14,29,1,0
A,926,14,30,0,0
A,927,14,31,-1,0
A,928,14,32,0,0
A,929,14,33,2,0
A,930,14,34,1,0
A,931,14,35,1,0
A,932,14,36,0,0
A,933,14,37,1,0
A,934,14,38,2,0
A,935,14,39,2,0
A,936,14,40,1,0
A,937,14,41,1,0
A,938,14,42,1,0
A,939,14,43,1,0
A,940,14,44,0,0
A,941,14,45,1,0
A,942,14,46,0,0
A,943,14,47,0,0
A,944,14,48,1,0
A,945,14,49,3,0
A,946,14,50,3,0
A,947,14,51,2,0
A,948,14,52,1,0
A,949,14,53,1,0
A,950,14,54,2,0
A,951,14,55,1,0
A,952,14,56,1,0
A,953,14,57,2,0
A,954,14,58,2,0
A,955,14,59,1,0
A,956,14,60,1,0
A,957,14,61,2,0
A,958,14,62,1,0
A,959,14,63,1,0
A,960,14,64,-1,0
A,961,14,65,-2,0
A,962,14,66,-2,0
A,963,14,67,-1,0
A,964,14,68,-1,0
A,965,14,69,-2,0
A,966,14,70,-3,0
A,967,14,71,1,0
A,968,14,72,0,0
A,969,14,73,-2,0
A,970,14,74,-1,0
A,971,14,75,0,0
A,972,14,76,-1,0
A,973,14,77,0,0
A,974,14,78,-2,0
A,975,14,79,1,0
A,976,14,80,1,0
A,977,14,81,-4,0
A,978,14,82,-3,0
A,979,14,83,-2,0
